HEX,Name,Red,Green,Blue,Family,Link,Source
#e7f1ac,1020-G60Y,231,241,172,,,NCS
#eef1ae,1020-G70Y,238,241,174,,,NCS
#f1efae,1020-G80Y,241,239,174,,,NCS
#f1eaad,1020-G90Y,241,234,173,,,NCS
#f18d94,1020-R,241,141,148,,,NCS
#f1909c,1020-R10B,241,144,156,,,NCS
#f194a7,1020-R20B,241,148,167,,,NCS
#f19ab5,1020-R30B,241,154,181,,,NCS
#f1a1c9,1020-R40B,241,161,201,,,NCS
#f1aae4,1020-R50B,241,170,228,,,NCS
#d9a7f1,1020-R60B,217,167,241,,,NCS
#c1a7f1,1020-R70B,193,167,241,,,NCS
#93a5f1,1020-R80B,147,165,241,,,NCS
#9ab7f1,1020-R90B,154,183,241,,,NCS
#f1e7ab,1020-Y,241,231,171,,,NCS
#f1e0a9,1020-Y10R,241,224,169,,,NCS
#f1d9a7,1020-Y20R,241,217,167,,,NCS
#f1d2a4,1020-Y30R,241,210,164,,,NCS
#f1caa1,1020-Y40R,241,202,161,,,NCS
#f1c19e,1020-Y50R,241,193,158,,,NCS
#f1b89a,1020-Y60R,241,184,154,,,NCS
#f1ae97,1020-Y70R,241,174,151,,,NCS
#f1a393,1020-Y80R,241,163,147,,,NCS
#f19892,1020-Y90R,241,152,146,,,NCS
#86c9f1,1030-B,134,201,241,,,NCS
#8bd7f1,1030-B10G,139,215,241,,,NCS
#90e8f1,1030-B30G,144,232,241,,,NCS
#92eef1,1030-B40G,146,238,241,,,NCS
#92f1ee,1030-B50G,146,241,238,,,NCS
#90f1e8,1030-B60G,144,241,232,,,NCS
#8ef1e2,1030-B70G,142,241,226,,,NCS
#84f1c0,1030-B90G,132,241,192,,,NCS
#7df1aa,1030-G,125,241,170,,,NCS
#9bf19f,1030-G10Y,155,241,159,,,NCS
#b0f195,1030-G20Y,176,241,149,,,NCS
#c1f18e,1030-G30Y,193,241,142,,,NCS
#cef188,1030-G40Y,206,241,136,,,NCS
#daf18b,1030-G50Y,218,241,139,,,NCS
#e3f18e,1030-G60Y,227,241,142,,,NCS
#ecf191,1030-G70Y,236,241,145,,,NCS
#f1ee92,1030-G80Y,241,238,146,,,NCS
#f1e890,1030-G90Y,241,232,144,,,NCS
#f16d76,1030-R,241,109,118,,,NCS
#f17080,1030-R10B,241,112,128,,,NCS
